player-check src,is-preload href,is-preload,is-preload href (2),flag src,is-preload href (3),pos,is-preload href (4),pos (2),is-preload href (5),pos (3),d2,d2 (2),d2 (3),team src,is-preload href (6),is-preload (2),sub,d6,d6 (2),d5,flag src (2),is-preload href (7),pos (4),sub (2)
https://cdn.sofifa.net/players/279/015/26_60.png,https://sofifa.com/player/279015/victor-froholdt/260046/,V. Froholdt,https://sofifa.com/players?na=13,https://cdn.sofifa.net/flags/dk.png,https://sofifa.com/players?pn=14,MC,https://sofifa.com/players?pn=10,VOL,https://sofifa.com/players?pn=18,MEI,19,79,88,https://cdn.sofifa.net/meta/team/652/120.png,https://sofifa.com/team/236/fc-porto/260046/,FC Porto,2025 ~ 2030,€38M,€12K,2133,,,,
https://cdn.sofifa.net/players/239/818/26_60.png,https://sofifa.com/player/239818/ruben-santos-gato-alves-dias/260046/,Rúben Dias,https://sofifa.com/players?na=38,https://cdn.sofifa.net/flags/pt.png,https://sofifa.com/players?pn=5,ZAG,,,,,28,87,87,https://cdn.sofifa.net/meta/team/9/120.png,https://sofifa.com/team/10/manchester-city/260046/,Manchester City,2020 ~ 2029,€68.5M,€210K,1888,,,,
https://cdn.sofifa.net/players/264/219/26_60.png,https://sofifa.com/player/264219/ernest-poku/260046/,E. Poku,https://sofifa.com/players?na=34,https://cdn.sofifa.net/flags/nl.png,https://sofifa.com/players?na=117,MD,https://sofifa.com/players?pn=12,PD,https://sofifa.com/players?pn=23,ME,21,76,85,https://cdn.sofifa.net/meta/team/000033212005/120.png,https://sofifa.com/team/32/bayer-04-leverkusen/260046/,Bayer 04 Leverkusen,2025 ~ 2030,€17M,€43K,1882,https://cdn.sofifa.net/flags/gh.png,,,
https://cdn.sofifa.net/players/272/500/26_60.png,https://sofifa.com/player/272500/carlos-baleba/260046/,C. Baleba,https://sofifa.com/players?na=103,https://cdn.sofifa.net/flags/cm.png,https://sofifa.com/players?pn=10,MC,https://sofifa.com/players?pn=14,VOL,,,21,80,86,https://cdn.sofifa.net/meta/team/78/120.png,https://sofifa.com/team/1808/brighton-hove-albion/260046/,Brighton & Hove Albion,2023 ~ 2028,€31M,€65K,2122,,,,
https://cdn.sofifa.net/players/259/240/26_60.png,https://sofifa.com/player/259240/adam-wharton/260046/,A. Wharton,https://sofifa.com/players?na=14,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/players?pn=10,MC,https://sofifa.com/players?pn=14,VOL,,,21,81,87,https://cdn.sofifa.net/meta/team/51/120.png,https://sofifa.com/team/1799/crystal-palace/260046/,Crystal Palace,2024 ~ 2029,€38M,€66K,2051,,,,
https://cdn.sofifa.net/players/270/039/26_60.png,https://sofifa.com/player/270039/diego-manuel-j-da-silva-moreira/260046/,Diego Moreira,https://sofifa.com/players?na=7,https://cdn.sofifa.net/flags/be.png,https://sofifa.com/players?na=38,MD,https://sofifa.com/players?pn=12,LE,https://sofifa.com/players?pn=16,ME,20,78,84,https://cdn.sofifa.net/meta/team/686/120.png,https://sofifa.com/team/76/rc-strasbourg-alsace/260046/,RC Strasbourg Alsace,2024 ~ 2029,€22M,€38K,2020,https://cdn.sofifa.net/flags/pt.png,https://sofifa.com/players?pn=3,LD,
https://cdn.sofifa.net/players/228/383/26_60.png,https://sofifa.com/player/228383/kamil-grabara/260046/,K. Grabara,https://sofifa.com/players?na=37,https://cdn.sofifa.net/flags/pl.png,https://sofifa.com/players?pn=0,GL,,,,,26,81,84,https://cdn.sofifa.net/meta/team/000005102002/120.png,https://sofifa.com/team/175/vfl-wolfsburg/260046/,VfL Wolfsburg,2024 ~ 2028,€26M,€35K,1392,,,,
https://cdn.sofifa.net/players/268/414/26_60.png,https://sofifa.com/player/268414/willy-kambwala/260046/,W. Kambwala,https://sofifa.com/players?na=18,https://cdn.sofifa.net/flags/fr.png,https://sofifa.com/players?na=110,ZAG,https://sofifa.com/players?pn=5,,,,20,72,81,https://cdn.sofifa.net/meta/team/3477/120.png,https://sofifa.com/team/483/villarreal-cf/260046/,Villarreal CF,2024 ~ 2029,€4.8M,€17K,1612,https://cdn.sofifa.net/flags/cd.png,,,
https://cdn.sofifa.net/players/266/895/26_60.png,https://sofifa.com/player/266895/nicolo-tresoldi/260046/,N. Tresoldi,https://sofifa.com/players?na=21,https://cdn.sofifa.net/flags/de.png,https://sofifa.com/players?na=27,ATA,https://sofifa.com/players?pn=25,,,,20,74,88,https://cdn.sofifa.net/meta/team/340/120.png,https://sofifa.com/team/231/club-brugge-kv/260046/,Club Brugge KV,2025 ~ 2029,€10M,€21K,1725,https://cdn.sofifa.net/flags/it.png,,,
https://cdn.sofifa.net/players/256/325/26_60.png,https://sofifa.com/player/256325/josip-sutalo/260046/,J. Šutalo,https://sofifa.com/players?na=10,https://cdn.sofifa.net/flags/hr.png,https://sofifa.com/players?pn=5,ZAG,,,,,25,77,81,https://cdn.sofifa.net/meta/team/629/120.png,https://sofifa.com/team/245/ajax/260046/,Ajax,2023 ~ 2028,€13M,€17K,1755,,,,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/78012/yan-diomande/260046/,Y. Diomande,https://sofifa.com/players?na=108,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=23,MD,https://sofifa.com/players?pn=27,PD,https://sofifa.com/players?pn=16,ME,18,81,89,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/112172/rb-leipzig/260046/,RB Leipzig,2025 ~ 2030,€54.5M,€45K,1981,,https://sofifa.com/players?pn=12,PE,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/259633/giannis-konstantelias/260046/,G. Konstantelias,https://sofifa.com/players?na=22,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=18,MC,https://sofifa.com/players?pn=27,ME,https://sofifa.com/players?pn=16,MEI,22,79,84,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/393/paok/260046/,PAOK,2019 ~ 2029,€27M,€33K,1931,,https://sofifa.com/players?pn=14,PE,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/243715/william-saliba/260046/,W. Saliba,https://sofifa.com/players?na=18,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?na=103,ZAG,https://sofifa.com/players?pn=5,,,,24,88,90,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/1/arsenal-fc/260046/,Arsenal FC,2019 ~ 2030,€105.5M,€200K,1926,https://cdn.sofifa.net/pixel.gif,,,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/86106/hamza-abdelkarim/260046/,H. Abdelkarim,https://sofifa.com/players?na=111,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=25,ATA,,,,,17,60,83,,https://sofifa.com/players?na=111,,Livre,€0,€0,1462,https://cdn.sofifa.net/pixel.gif,,,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/268802/fabio-miretti/260046/,F. Miretti,https://sofifa.com/players?na=27,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=14,MC,https://sofifa.com/players?pn=18,ME,https://sofifa.com/players?pn=16,MEI,21,75,80,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/45/juventus-fc/260046/,Juventus FC,2021 ~ 2028,€8.5M,€59K,2043,,,,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/243780/kang-in-lee/260046/,Lee Kang In,https://sofifa.com/players?na=167,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=23,MC,https://sofifa.com/players?pn=14,PD,https://sofifa.com/players?pn=18,MEI,24,80,83,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/73/paris-saint-germain/260046/,Paris Saint-Germain,2023 ~ 2028,€29M,€78K,2093,,https://sofifa.com/players?pn=12,MD,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/222665/martin-odegaard/260046/,M. Ødegaard,https://sofifa.com/players?na=36,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=14,MC,https://sofifa.com/players?pn=18,,,MEI,26,86,87,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/1/arsenal-fc/260046/,Arsenal FC,2021 ~ 2028,€79.5M,€200K,2197,,,,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/70497/konstantinos-karetsas/260046/,K. Karetsas,https://sofifa.com/players?na=22,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?na=7,MC,https://sofifa.com/players?pn=18,PD,https://sofifa.com/players?pn=23,MEI,17,74,86,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/673/krc-genk/260046/,KRC Genk,2024 ~ 2029,€9.5M,€12K,1748,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?pn=14,,
https://cdn.sofifa.net/player_0.png,https://sofifa.com/player/278901/ayyoub-bouaddi/260046/,A. Bouaddi,https://sofifa.com/players?na=18,https://cdn.sofifa.net/pixel.gif,https://sofifa.com/players?na=129,MC,https://sofifa.com/players?pn=10,VOL,https://sofifa.com/players?pn=14,,17,78,86,https://cdn.sofifa.net/empty.png,https://sofifa.com/team/65/lille-osc/260046/,Lille OSC,2023 ~ 2029,€27M,€15K,1970,https://cdn.sofifa.net/pixel.gif,,,
